scenario_id,failure_type,failure_name,Q_it_load_W,Q_it_load_kW,initial_temperature_C,failure_time_s,remaining_capacity,degradation_rate,peak_temperature_C,peak_time_s,avg_heating_rate_C_per_s,time_to_warning_s,time_to_critical_s,time_to_shutdown_s,time_to_damage_s,thermal_mass_kg,thermal_capacity_J_per_K
0,instant,Complete CRAC Failure,68387.09677419355,68.38709677419355,20.803939939302285,2.0,0.0,0.0,25.43362980738987,60.0,0.07975354496846619,-1,-1,-1,-1,852.4799999999999,856742.3999999999
1,instant,Complete CRAC Failure,154758.06451612903,154.75806451612902,19.925331190041142,5.0,0.0,0.0,29.860281929019404,60.0,0.18047155165527054,-1,-1,-1,-1,852.4799999999999,856742.3999999999
2,instant,Complete CRAC Failure,142419.35483870967,142.41935483870967,19.17443597272679,10.0,0.0,0.0,27.48611530493497,60.0,0.16606768010405648,-1,-1,-1,-1,852.4799999999999,856742.3999999999
3,partial,Partial Cooling (25%),120887.09677419355,120.88709677419355,18.322202205332502,5.0,0.2714891307711168,0.0,23.975845531953297,60.0,0.10270023591704136,-1,-1,-1,-1,852.4799999999999,856742.3999999999
4,partial,Partial Cooling (50%),150887.09677419355,150.88709677419354,24.964706385839467,5.0,0.46185997396405465,0.0,30.177371520248844,60.0,0.09468972285277578,-1,-1,-1,-1,852.4799999999999,856742.3999999999
5,partial,Partial Cooling (75%),100806.45161290323,100.80645161290323,25.900268488557842,5.0,0.7343480666092808,0.0,27.61941792790768,60.0,0.031228896458335285,-1,-1,-1,-1,852.4799999999999,856742.3999999999
6,gradual,Gradual Degradation (rate=0.05),108064.51612903226,108.06451612903226,26.228893975459773,5.0,0.1,0.04924995106438651,30.321103058921288,60.0,0.07436490083549833,-1,-1,-1,-1,852.4799999999999,856742.3999999999
7,gradual,Gradual Degradation (rate=0.1),60887.096774193546,60.887096774193544,21.048994055866224,5.0,0.1,0.10040892654329299,23.932404764548174,60.0,0.0523883102641534,-1,-1,-1,-1,852.4799999999999,856742.3999999999
8,gradual,Gradual Degradation (rate=0.2),160080.64516129033,160.08064516129033,26.39947952225922,5.0,0.1,0.17130778221111095,34.666894182422,60.0,0.15019640790104896,-1,-1,-1,-1,852.4799999999999,856742.3999999999
9,intermittent,Intermittent (30% duty),127419.35483870968,127.41935483870968,25.196457670772894,5.0,0.3,0.0,31.44292493783312,60.0,0.11350097163311165,-1,-1,-1,-1,852.4799999999999,856742.3999999999
10,intermittent,Intermittent (50% duty),130322.58064516129,130.32258064516128,25.05072481743276,5.0,0.5,0.0,29.61414754544946,60.0,0.08295877371940488,-1,-1,-1,-1,852.4799999999999,856742.3999999999
11,intermittent,Intermittent (70% duty),153064.51612903224,153.06451612903226,23.216125517212014,5.0,0.7,0.0,23.216125517212014,0.0,0.0,-1,-1,-1,-1,852.4799999999999,856742.3999999999
12,hybrid,Liquid Cooling Loss (90% loss),73709.67741935483,73.70967741935483,22.176819234669832,5.0,0.1,0.0,26.43554277360466,60.0,0.07736107237422889,-1,-1,-1,-1,852.4799999999999,856742.3999999999
13,instant,Complete CRAC Failure,139032.25806451612,139.03225806451613,25.8050929544151,2.0,0.0,0.0,35.21733980480425,60.0,0.16214046205118926,-1,-1,-1,-1,852.4799999999999,856742.3999999999
14,instant,Complete CRAC Failure,149677.4193548387,149.6774193548387,24.88975367055757,5.0,0.0,0.0,34.49854534485034,60.0,0.17454675584892068,-1,-1,-1,-1,852.4799999999999,856742.3999999999
15,instant,Complete CRAC Failure,109032.25806451612,109.03225806451613,20.829849249824484,10.0,0.0,0.0,27.193037519813885,60.0,0.12713675230565386,-1,-1,-1,-1,852.4799999999999,856742.3999999999
16,partial,Partial Cooling (25%),116774.19354838709,116.77419354838709,19.512517650245222,5.0,0.254119552018492,0.0,25.10402026433722,60.0,0.10157142966733339,-1,-1,-1,-1,852.4799999999999,856742.3999999999
17,partial,Partial Cooling (50%),83870.96774193548,83.87096774193549,25.551208100311246,5.0,0.5063936537783891,0.0,28.20890243851627,60.0,0.04827785425828281,-1,-1,-1,-1,852.4799999999999,856742.3999999999
18,partial,Partial Cooling (75%),50725.8064516129,50.725806451612904,25.433496755659604,5.0,0.794959390213019,0.0,26.10119482973132,60.0,0.012128948612077597,-1,-1,-1,-1,852.4799999999999,856742.3999999999
19,gradual,Gradual Degradation (rate=0.05),67903.2258064516,67.9032258064516,21.185006474718566,5.0,0.1,0.05593915153656274,23.89188695886317,60.0,0.04918842320240373,-1,-1,-1,-1,852.4799999999999,856742.3999999999
20,gradual,Gradual Degradation (rate=0.1),143629.03225806452,143.6290322580645,24.38617416489119,5.0,0.1,0.10648892500198559,31.271810816931502,60.0,0.125102704142279,-1,-1,-1,-1,852.4799999999999,856742.3999999999
21,gradual,Gradual Degradation (rate=0.2),102258.06451612903,102.25806451612902,24.92431566660284,5.0,0.1,0.221361624497306,30.347206857928917,60.0,0.09851655408329647,-1,-1,-1,-1,852.4799999999999,856742.3999999999
22,intermittent,Intermittent (30% duty),135887.09677419355,135.88709677419354,23.077381653165226,5.0,0.3,0.0,28.31147936681912,60.0,0.09513662733344934,-1,-1,-1,-1,852.4799999999999,856742.3999999999
23,intermittent,Intermittent (50% duty),126935.48387096774,126.93548387096774,23.275019179090062,5.0,0.5,0.0,24.015821749115766,35.1,0.013444692740938421,-1,-1,-1,-1,852.4799999999999,856742.3999999999
24,intermittent,Intermittent (70% duty),138548.38709677418,138.54838709677418,25.32006261912192,5.0,0.7,0.0,25.805208019326436,45.1,0.008804816700626475,-1,-1,-1,-1,852.4799999999999,856742.3999999999
25,hybrid,Liquid Cooling Loss (90% loss),136612.90322580645,136.61290322580646,26.61941733867055,5.0,0.1,0.0,34.51250027490705,60.0,0.14338037028556488,-1,-1,-1,-1,852.4799999999999,856742.3999999999
26,instant,Complete CRAC Failure,160564.51612903224,160.56451612903226,28.657125762276152,2.0,0.0,0.0,39.52706973789575,60.0,0.18725154200229976,-1,-1,-1,-1,852.4799999999999,856742.3999999999
27,instant,Complete CRAC Failure,58467.74193548387,58.46774193548387,20.443487573390765,5.0,0.0,0.0,24.19692135482654,60.0,0.06818231958288934,-1,-1,-1,-1,852.4799999999999,856742.3999999999
28,instant,Complete CRAC Failure,100322.58064516129,100.32258064516128,27.44603894995966,10.0,0.0,0.0,33.300925864475765,60.0,0.11698086339030561,-1,-1,-1,-1,852.4799999999999,856742.3999999999
29,partial,Partial Cooling (25%),129112.90322580645,129.11290322580646,18.768039455966196,5.0,0.2733576997951907,0.0,24.79089914697334,60.0,0.1094071690897529,-1,-1,-1,-1,852.4799999999999,856742.3999999999
30,partial,Partial Cooling (50%),136854.83870967742,136.85483870967744,25.50299636783479,5.0,0.5256751393051194,0.0,29.67023595147845,60.0,0.07569923650946266,-1,-1,-1,-1,852.4799999999999,856742.3999999999
31,partial,Partial Cooling (75%),90645.16129032258,90.64516129032258,29.903045296548207,5.0,0.7521895336447011,0.0,31.34508246895741,60.0,0.026195062984667155,-1,-1,-1,-1,852.4799999999999,856742.3999999999
32,gradual,Gradual Degradation (rate=0.05),134435.48387096776,134.43548387096774,23.190872029440357,5.0,0.1,0.04002968818003038,27.820459479243496,60.0,0.08413549666788972,-1,-1,-1,-1,852.4799999999999,856742.3999999999
33,gradual,Gradual Degradation (rate=0.1),118951.6129032258,118.95161290322581,22.635912604079753,5.0,0.1,0.09097448240448673,28.14425584524442,60.0,0.10008255844925475,-1,-1,-1,-1,852.4799999999999,856742.3999999999
